date,quarter,gdp_real
2010-01-01,2010Q1,150935.0
2010-02-01,2010Q1,150935.0
2010-03-01,2010Q1,150935.0
2010-04-01,2010Q2,154065.0
2010-05-01,2010Q2,154065.0
2010-06-01,2010Q2,154065.0
2010-07-01,2010Q3,154561.0
2010-08-01,2010Q3,154561.0
2010-09-01,2010Q3,154561.0
2010-10-01,2010Q4,159435.0
2010-11-01,2010Q4,159435.0
2010-12-01,2010Q4,159435.0
2011-01-01,2011Q1,154402.0
2011-02-01,2011Q1,154402.0
2011-03-01,2011Q1,154402.0
2011-04-01,2011Q2,157244.0
2011-05-01,2011Q2,157244.0
2011-06-01,2011Q2,157244.0
2011-07-01,2011Q3,155909.0
2011-08-01,2011Q3,155909.0
2011-09-01,2011Q3,155909.0
2011-10-01,2011Q4,160154.0
2011-11-01,2011Q4,160154.0
2011-12-01,2011Q4,160154.0
2012-01-01,2012Q1,155731.0
2012-02-01,2012Q1,155731.0
2012-03-01,2012Q1,155731.0
2012-04-01,2012Q2,157909.0
2012-05-01,2012Q2,157909.0
2012-06-01,2012Q2,157909.0
2012-07-01,2012Q3,158411.0
2012-08-01,2012Q3,158411.0
2012-09-01,2012Q3,158411.0
2012-10-01,2012Q4,162716.0
2012-11-01,2012Q4,162716.0
2012-12-01,2012Q4,162716.0
2013-01-01,2013Q1,157493.0
2013-02-01,2013Q1,157493.0
2013-03-01,2013Q1,157493.0
2013-04-01,2013Q2,161220.0
2013-05-01,2013Q2,161220.0
2013-06-01,2013Q2,161220.0
2013-07-01,2013Q3,161655.0
2013-08-01,2013Q3,161655.0
2013-09-01,2013Q3,161655.0
2013-10-01,2013Q4,166054.0
2013-11-01,2013Q4,166054.0
2013-12-01,2013Q4,166054.0
2014-01-01,2014Q1,161418.0
2014-02-01,2014Q1,161418.0
2014-03-01,2014Q1,161418.0
2014-04-01,2014Q2,164974.0
2014-05-01,2014Q2,164974.0
2014-06-01,2014Q2,164974.0
2014-07-01,2014Q3,165469.0
2014-08-01,2014Q3,165469.0
2014-09-01,2014Q3,165469.0
2014-10-01,2014Q4,171001.0
2014-11-01,2014Q4,171001.0
2014-12-01,2014Q4,171001.0
2015-01-01,2015Q1,164411.0
2015-02-01,2015Q1,164411.0
2015-03-01,2015Q1,164411.0
2015-04-01,2015Q2,167025.0
2015-05-01,2015Q2,167025.0
2015-06-01,2015Q2,167025.0
2015-07-01,2015Q3,167635.0
2015-08-01,2015Q3,167635.0
2015-09-01,2015Q3,167635.0
2015-10-01,2015Q4,173432.0
2015-11-01,2015Q4,173432.0
2015-12-01,2015Q4,173432.0
2016-01-01,2016Q1,168064.0
2016-02-01,2016Q1,168064.0
2016-03-01,2016Q1,168064.0
2016-04-01,2016Q2,171553.0
2016-05-01,2016Q2,171553.0
2016-06-01,2016Q2,171553.0
2016-07-01,2016Q3,170900.0
2016-08-01,2016Q3,170900.0
2016-09-01,2016Q3,170900.0
2016-10-01,2016Q4,174842.0
2016-11-01,2016Q4,174842.0
2016-12-01,2016Q4,174842.0
2017-01-01,2017Q1,169866.0
2017-02-01,2017Q1,169866.0
2017-03-01,2017Q1,169866.0
2017-04-01,2017Q2,172696.0
2017-05-01,2017Q2,172696.0
2017-06-01,2017Q2,172696.0
2017-07-01,2017Q3,173216.0
2017-08-01,2017Q3,173216.0
2017-09-01,2017Q3,173216.0
2017-10-01,2017Q4,179316.0
