Consommation finale;
date;GWH
01-2019;5838
02-2019;5086
03-2019;5176
04-2019;4533
05-2019;4611
06-2019;4200
07-2019;4195
08-2019;4125
09-2019;4282
10-2019;4718
11-2019;5118
12-2019;5316
01-2020;5503
02-2020;4959
03-2020;4956
04-2020;4083
05-2020;4251
06-2020;4192
07-2020;4209
08-2020;4213
09-2020;4306
10-2020;4832
11-2020;5065
12-2020;5528
01-2021;5748
02-2021;4958
03-2021;5275
04-2021;4680
05-2021;4595
06-2021;4365
07-2021;4436
08-2021;4307
09-2021;4422
10-2021;4879
11-2021;5415
12-2021;5723
01-2022;5799
02-2022;5143
03-2022;5334
04-2022;4690
05-2022;4550
06-2022;4450
07-2022;4432
08-2022;4381
09-2022;4417
10-2022;4471
11-2022;4894
12-2022;5415
01-2023;5523
02-2023;4951
03-2023;5150
04-2023;4563
05-2023;4381
06-2023;4343
07-2023;4228
08-2023;4344
09-2023;4292
10-2023;4561
11-2023;5076
12-2023;5298
01-2024;5608
02-2024;4949
03-2024;5041
04-2024;4621
05-2024;4474
06-2024;4344
07-2024;4384
08-2024;4382
09-2024;4368
10-2024;4629
11-2024;5145
12-2024;5567
01-2025;5715
02-2025;5124
03-2025;5183
04-2025;4462
05-2025;4486
06-2025;4426
07-2025;4422
08-2025;4353
